Article Title,Article Link,Article Text,Article Summary,Article Image
"IBM CEO Arvind Krishna says not due to AI, many companies are laying off but because they …",https://timesofindia.indiatimes.com/technology/tech-news/ibm-ceo-arvind-krishna-says-not-due-to-ai-many-companies-are-laying-off-but-because-they-/articleshow/125721041.cms,"Krishna says AI-led jobs cuts will not be catastrophic







IBM CEO Arvind Krishna has refuted the narrative that the current wave of mass layoffs across the tech industry is primarily due to the artificial intelligence (AI) technology, arguing that the job cuts are largely a “natural correction” following over-hiring during the pandemic years. Krishna, however, acknowledged that AI will eventually lead to some job displacement, but suggested that many companies are currently laying off staff because they overhired between 2020 and 2023.In an interview with The Verge, Krishna used strong terms to describe the rapid staffing increases across the industry during the lockdown era.""If you look at the total employment numbers, I think people gorged on employment... during the pandemic and the year after,"" Krishna explained. He noted that some companies saw their employee count spike by ""30, 40, 50, 100 percent"" from 2020 to 2023.“There is going to be some natural correction. Business is never completely optimized. I think in engineering terms, it’s an underdamped system. When there’s a need, it goes above. Now, it has to correct. It’s probably going to go below what’s needed, and then it’ll hit the correct equilibrium, depending on market demand and growth,” the CEO noted.Notably, earlier this year, IBM announced that it will lay off thousands of employees from its global workforce in the fourth quarter in 2025. It was reported that the company will layoff about 1% of its total workforce – around 2700 employees – by the end of this year.Talking about the long-term impact of AI on employment, Krishna projected a significant but manageable level of job displacement over the next couple of years.“Could there be up to 10 percent job displacement? I believe that’ll be likely over the next couple of years. It’s not 30 or 40 percent, but it is up to 10 percent of the total US employment pool. It is very concentrated in certain areas,"" he said.Krishna also believes that as AI increases overall productivity, companies will ultimately hire more people, though in different roles.“Now, as you get more productive, companies are going to then hire more people but in different places. We are hiring more because people say, “I don’t need to do the entry-level task because an AI agent can do it.” I’m looking at them like, “Really?” Think strategically for a moment,” the CEO noted.Krishna criticised companies that are looking to AI primarily as a cost-cutting measure for entry-level tasks, calling the approach ""shortsighted.""“Wouldn’t you rather have an entry-level person and AI makes them more like a 10-year expert? Isn’t that more useful to me than the other way around? Otherwise, where is the talent who’s going to come up with the next great product? Where is the person who’s going to be able to convince a client to deploy technology the way it should be deployed? That’s why I think some are being shortsighted,” he noted.Last month, Krishna said that the company will continue to hire more college graduates.“People are talking about either layoffs or freezing hiring, but I actually want to say that we are the opposite. I expect we are probably going to hire more people out of college over the next 12 months than we have in the past few years, so you’re going to see that,” Krishna told CNN.","IBM CEO Arvind Krishna has refuted the narrative that the current wave of mass layoffs across the tech industry is primarily due to the artificial intelligence (AI) technology. Krishna, however, acknowledged that AI will eventually lead to some job displacement, but suggested that many companies are currently laying off staff because they overhired between 2020 and 2023.","https://static.toiimg.com/thumb/msid-125721060,imgsize-60206,width-400,resizemode-4/ibm-ceo-arvind-krishna.jpg"
South Korea PM Lee Nak-yon pushes stronger data protection laws after Coupang breach,https://timesofindia.indiatimes.com/technology/tech-news/south-korea-pm-lee-nak-yon-pushes-stronger-data-protection-laws-after-coupang-breach/articleshow/125719328.cms,"Regulatory push



Coupang apologises over massive data breach







Coupang, South Korea's largest e-commerce platform often dubbed the “Amazon.com of South Korea,” recently faced a massive data breach. The system of the company were illegally accessed causing a massive data breach and affecting the personal information of 33.7 million customer accounts. The breach was first detected by the company on November 18 but it believes the unauthorised access to customer accounts began on June 24 and was executed through overseas servers. Coupang says that the compromised information is limited to basic personal data and the highly sensitive financial details remain secure. Now, the South Korean Prime Minister Lee Nak-yon has called for stronger penalties against companies that fail to protect consumer data.As reported by Reuters, Lee emphasised that the companies must face tougher consequences when they fail to protect personal information. “We cannot allow negligence in data protection to go unpunished,” he said, urging lawmakers to strengthen penalties and enforcement measures.Along with this, Lee also stressed that protecting the trust of the consumer is of critical importance for South Korea’s digital economy, which heavily relies on e-commerce and online services.He also called for closer cooperation between government agencies and private firms to prevent future breaches.For the uninitiated, South Korea already has some strict data privacy laws under the Personal Information Protection Act (PIPA). However, the critics argue that enforcement of the laws has been inconsistent and the penalties are also lenient. The recent Coupang data breach has intensified the calls for higher fines and reforms.Coupang has also apologised for the data leak and urged customers to be wary of phone calls, text messages or other communications impersonating the company. The company also said that it has launched an investigation with security experts into the incident and is working with law enforcement as well as regulatory authorities.Notably, on November 20, Coupang reported a data leak involving about 4,500 customers. At that time, the company said that it had found no evidence of unauthorised access to payment information or into its systems.The latest incident surpasses SK Telecom's data leak in April. It affected 23.2 million users, resulting in a record fine of 134.8 billion won.","South Korean Prime Minister Lee Nak-yon has called for stronger penalties against companies that fail to protect consumer data. Coupang, South Korea's largest e-commerce platform often dubbed the “Amazon.com of South Korea,” recently faced a massive data breach. The breach was first detected by the company on November 18.","https://static.toiimg.com/thumb/msid-125719320,imgsize-11534,width-400,resizemode-4/coupang39s-data-breach-undetected-for-5-months-triggers-customer-alarm.jpg"
Bernie Sanders has a bankruptcy warning for 5 lakh plus Americans,https://timesofindia.indiatimes.com/technology/tech-news/bernie-sanders-has-bankruptcy-warning-for-5-lakh-plus-americans/articleshow/125719052.cms,"Senator Bernie Sanders

Bernie Sanders bankruptcy warning



Bernie Sanders warning on the rise of AI







US senator Bernie Sanders has once again raised an alarm on medical debt crises in America. In a post shared on social media platform X (formerly known as Twitter) Sanders highlights that more than 530,000 America will go bankrupt annually because of the cost of healthcare. In the post, Sanders also drew comparisons of US with other countries like Germany, Canada, France and Japan, where the number of medical bankruptcies is zero.In post shared on X, Sanders shared a chart highlighting the disparity. He mentioned that while advanced economies across Europe and Asia report no medical bankruptcies, the United States stands alone with 530,000 cases each year. “Yes. We need Medicare for All — NOW,” Sanders wrote, underscoring his long-standing push for universal healthcare. He further argued that the present system in the US compels ordinary Americans into financial ruin simply because they get sick, calling it a moral and economic failure.The figures highlighted by Sanders come from a 2019 American Journal of Public health study. The study estimated that medical issues contribute to hundred of thousands of bankruptcies annually. While some analysts debate the methodology, the number has become a rallying point for advocates of healthcare reform.Sanders’ post has reignited debate about the U.S. healthcare system, which remains the most expensive in the world yet leaves millions uninsured or underinsured.Last month, the US senator issued one of his starkest warnings yet about the rise of artificial intelligence. In an interview with NBC News, Sanders said that the technology’s explosive growth risks concentrating wealth and power among a handful of billionaires while leaving ordinary workers behind. Sanders cautioned that AI’s military applications could reshape global conflict. “I think we are not all that far away from the development of robotic soldiers,” he said. “If you don’t have to worry about loss of life, and what you worry about is loss of robots, what does that mean for issues of war and peace globally? It’s a big issue.”","US senator Bernie Sanders has once again raised an alarm on medical debt crises in America. In a post shared on social media platform X, Sanders highlights that more than 530,000 America will go bankrupt annually because of the cost of healthcare. Sanders also drew comparisons of US with other countries like Germany, Canada, France and Japan, where the number of medical bankruptcies is zero.","https://static.toiimg.com/thumb/msid-125719045,imgsize-74216,width-400,resizemode-4/government-shutdown.jpg"
"Google's Gemini forces OpenAI CEO Sam Altman send 'Code Red' warning to employees, two years after ChatGPT did same to Google",https://timesofindia.indiatimes.com/technology/tech-news/googles-gemini-forces-openai-ceo-sam-altman-send-code-red-warning-to-employees-two-years-after-chatgpt-did-same-to-google/articleshow/125718598.cms,"OpenAI faces an internal 'code red' as Google's Gemini surges ahead, forcing a halt on revenue plans to fix ChatGPT's performance. Google's integrated infrastructure and custom chips give it a decisive edge. OpenAI's pivot highlights intense competition and financial pressures, as it scrambles to regain ground against a resurgent tech giant.

Google's infrastructure advantage proves decisive

Financial pressures compound OpenAI’s strategic challenges





Three years after ChatGPT's explosive debut sent Google into panic mode, the tables have turned spectacularly. OpenAI CEO Sam Altman has declared an internal ""code red"" emergency, ordering employees to halt work on advertising and revenue-generating features to fix ChatGPT's deteriorating competitive position as Google's Gemini 3 model surges ahead on performance benchmarks, user engagement, and market share—a reversal that threatens the $500 billion startup's future while vindicating Google's patient, infrastructure-heavy approach to artificial intelligence.OpenAI is abandoning plans to introduce advertising, AI shopping assistants, health agents, and its Pulse personal assistant, according to internal memos obtained by The Wall Street Journal and The Information. Instead, all resources will redirect toward improving ChatGPT's speed, reliability, and personalisation as the company confronts what Altman called ""temporary economic headwinds"" from Google's aggressive AI offensive. The staff working on chatbot will have to attend daily calls as the development sprints toward an “even more intuitive and personal,” as described by ChatGPT's head Nick Turley.""We are at a critical time for ChatGPT,"" Altman wrote in memo, first reported by The Information. The directive escalates OpenAI's internal alert level from ""code orange"" to ""code red""—the company's highest urgency designation for existential threats.The retreat comes as a remarkable role reversal from December 2022, when ChatGPT's launch forced Google CEO Sundar Pichai to issue his own ""code red"" that restructured entire divisions and accelerated AI development timelines.Google's comeback stems from advantages OpenAI cannot easily replicate. Its Gemini user base rocketed from 450 million monthly active users in July to 650 million in October, while web analytics firm Similarweb reports users now spend more time with Gemini than ChatGPT—despite OpenAI claiming 800 million weekly users.More fundamentally, Google controls what insiders call the ""full stack."" DeepMind researchers build models, proprietary TPU chips train them cheaply, Google Cloud hosts them efficiently, and seamless integration delivers them across Search, YouTube, Gmail, and 3 billion Android devices. OpenAI depends on Microsoft's cloud infrastructure and Nvidia's expensive chips, creating structural cost disadvantages.""One of the most important things for us at Google is this is possible because we have a very differentiated full-stack approach,"" DeepMind CTO Koray Kavukcuoglu told reporters, noting the company trains models on custom silicon while deploying them immediately into products.Google's latest Gemini 3 model has outperformed OpenAI's GPT-5 on industry benchmarks, while its Nano Banana Pro image generator has gained significant traction. Anthropic's Opus 4.5 model also beat GPT-5 in key tests, squeezing OpenAI from multiple directions.OpenAI isn't alone in feeling the tremors from Gemini 3's success. Nvidia's stock plummeted over 6%, erasing roughly $250 billion in market value, after reports emerged that Meta Platforms—one of OpenAI's fellow mega-customers—is in advanced talks to purchase billions of dollars worth of Google's TPU chips instead of Nvidia's GPUs. The chipmaker, which supplies the expensive hardware powering OpenAI's models and has built a near-monopoly on AI infrastructure, now faces the prospect of losing up to 10% of its annual revenue as Google's custom silicon proves both cheaper and, for certain workloads, more efficient than Nvidia's flagship products.The pivot comes as OpenAI confronts brutal financial realities. The Wall Street Journal reported the company must reach roughly $200 billion in annual revenue by 2030 to achieve profitability—requiring 100-fold growth while burning billions quarterly on compute costs and talent.Google generates $120 billion annually with nearly $100 billion in cash reserves, giving it unlimited capacity to undercut OpenAI on pricing or outspend on research. The search giant can afford to offer advanced models free while OpenAI desperately needs to monetize.Altman attempted to reassure employees that a new reasoning model launching next week would surpass Gemini 3's capabilities. ""I wouldn't trade positions with any other company,"" he wrote, according to sources familiar with the memo.But the emergency directive—and the shelving of advertising plans OpenAI needs to survive—suggests deeper anxiety about whether the ChatGPT pioneer can maintain its early lead against a tech giant finally operating at full throttle.","Google's Gemini 3 model has outperformed OpenAI's GPT-5 on industry benchmarks, user engagement, and market share. OpenAI is abandoning plans to introduce advertising, AI shopping assistants, health agents, and its Pulse personal assistant. Instead, all resources will redirect toward improving ChatGPT's speed, reliability, and personalisation.","https://static.toiimg.com/thumb/msid-125718598,imgsize-23402,width-400,resizemode-4/125718598.jpg"
Mark Zuckerberg's Instagram orders employees to return to office 5 days a week; says: We don't want you to spend your time on…,https://timesofindia.indiatimes.com/technology/tech-news/mark-zuckerbergs-instagram-orders-employees-to-return-to-office-5-days-a-week-says-we-dont-want-you-to-spend-your-time-on/articleshow/125717120.cms,"Instagram is mandating a full five-day work week in its US offices starting February 2, 2026, a significant shift aiming to boost creativity and competitiveness. Chief Adam Mosseri believes in-person collaboration is key, while also announcing operational changes like fewer meetings and more prototypes to streamline product development and foster a bolder culture.","Instagram is mandating a full five-day work week in its US offices starting February 2, 2026. Chief Adam Mosseri believes in-person collaboration is key, while also announcing operational changes like fewer meetings and more prototypes to streamline product development.","https://static.toiimg.com/thumb/msid-125717120,imgsize-16686,width-400,resizemode-4/125717120.jpg"
"NYT Strands puzzle answers, hints and spangram for 30 November 2025",https://timesofindia.indiatimes.com/technology/gaming/nyt-strands-puzzle-answers-hints-and-spangram-for-30-november-2025/articleshow/125669079.cms,"Hints for NYT Strands today

NYT Strands answers for 30 November 2025

NYT Strands Spangram for 30 November 2025

Puzzle overview





The New York Times Strands puzzle for 30 November 2025 has arrived with a fresh theme that leans into collective nouns and the idea of strength in numbers. Players were challenged to identify words that describe groups of animals, with an overarching phrase tying everything together. Today’s puzzle is Strands game number 637.If you are working through the grid and want a gentle push, here are some clues to guide you before viewing the full solution.• The theme refers to groups of creatures and what they are called when gathered.• Think about the vocabulary used to describe animals in packs or clusters.• The spangram runs vertically and begins with the letters IN.• One of the theme words relates to lions.• Two of the answers contain only four letters.If you are ready to check your work or need a final boost, here are the confirmed answers.ANTSARMYCOWSFLOCKGEESEHERDLIONSPRIDEThe spangram connecting the theme words is:IN IT TOGETHERPlayers who identified the spangram early likely found today’s board more manageable. Once IN IT TOGETHER was spotted, the pattern of collective nouns became clearer and helped reveal the remaining entries. The grid was rated moderately challenging, with short curved paths requiring attention to letter direction. The satisfaction of discovering the unifying phrase paired with recognisable animal group terms made this puzzle particularly enjoyable.","The New York Times Strands puzzle for 30 November 2025 has arrived with a fresh theme that leans into collective nouns and the idea of strength in numbers. Players were challenged to identify words that describe groups of animals, with an overarching phrase tying everything together. Today’s puzzle is Strands game number 637.","https://static.toiimg.com/thumb/msid-125669098,imgsize-14672,width-400,resizemode-4/nyt-strands-puzzle-answers-hints-and-spangram-for-30-november-2025.jpg"
‘Opportunity to reindustrialise America’: OpenAI CEO Sam Altman on partnering Apple’s largest supplier for AI data centre components,https://timesofindia.indiatimes.com/technology/tech-news/opportunity-to-reindustrialise-america-openai-ceo-sam-altman-on-partnering-apples-largest-supplier-for-ai-data-centre-components/articleshow/125482560.cms,"“This partnership is a step toward ensuring the core technologies of the AI era are built here,”

“generational opportunity to reindustrialise America.”

OpenAI's Master Plan for India

How the Foxconn partnership can help OpenAI





“Foxconn is uniquely positioned to support OpenAI’s mission with trusted, scalable infrastructure,”





ChatGPT-maker OpenAI is partnering with Taiwan's Foxconn to design and build artificial intelligence (AI) data centre components within the US. This partnership is the AI startup's newest step in its extensive infrastructure development plans. The companies stated the goal is to accelerate infrastructure deployment and secure long-term US capacity for essential AI components. While financial terms were not disclosed, OpenAI confirmed it will have early access to evaluate the systems produced by the world's largest contract electronics manufacturer and Apple ’s largest supplier, along with the option to purchase them.In a statement to CNBC, OpenAI CEO Sam Altman commented on the partnership, saying:adding that AI infrastructure presents aUnder the agreement, OpenAI and Foxconn will co-develop multiple generations of AI servers and manufacture core components, which include power, networking, and cooling systems, at Foxconn’s US facilities, which are located in Wisconsin, Ohio, Texas, Virginia and Indiana.Foxconn adds another manufacturing layer to OpenAI’s supply chain, which could help make production for the AI startup more local and speed up deployment.The company is widely known for assembling Apple’s iPhones, but it has also expanded into AI and automotive manufacturing. It builds server racks designed for AI workloads and is an important global supplier to Nvidia, a major producer of high-end AI chips.Chairman Young Liu said to CNBC.However, the company has had mixed results in the US. In 2018, Foxconn began construction of a large factory in Wisconsin intended to make flat-panel displays. The project did not succeed, and the site is now being used for an AI data centre under construction by Microsoft.OpenAI has recently made several major agreements with some of the world’s biggest technology companies, announcing spending plans of about $1.4 trillion.These commitments have raised questions about whether the company will eventually generate enough profit to support that level of investment.Earlier this month, Altman said the company expects to reach $20 billion in annualised revenue by the end of the year and aims to reach hundreds of billions by 2030.Previous deals include a $100 billion agreement (yet to be finalised) with Nvidia, under which the chipmaker would invest in OpenAI in phases as the company expands its infrastructure.OpenAI also has cloud partnerships with Microsoft, Google, and Amazon, as well as significant compute buildout commitments with Oracle.","OpenAI and Foxconn will co-develop multiple generations of AI servers and manufacture core components, which include power, networking, and cooling systems, at Foxconn’s US facilities. The companies stated the goal is to accelerate infrastructure deployment and secure long-term US capacity for essential AI components.","https://static.toiimg.com/thumb/msid-125482540,imgsize-31358,width-400,resizemode-4/opportunity-to-reindustrialise-america-openai-ceo-sam-altman-on-partnering-apples-largest-supplier-for-ai-data-centre-components.jpg"
"Wordle today #1625: Hints and answers for today’s Wordle (November 30, 2025)",https://timesofindia.indiatimes.com/technology/gaming/wordle-today-1625-hints-and-answers-for-todays-wordle-november-30-2025/articleshow/125668451.cms,"Why Wordle is the ultimate game for word lovers



Decode the challenge: Smart strategies to solve Wordle in six moves



Objective: Identify the secret five-letter word in six attempts.

First move: Begin with a word that includes common vowels and consonants to uncover key letters early.

Enter a guess: Type any valid five-letter word and submit it.

Review clues: Green indicates the correct letter in the right position, yellow shows the correct letter in the wrong position, and grey means the letter is not in the word.

Strategy tip: Use the feedback from each guess to narrow down possible words.

Avoid mistakes: Exclude letters that have already been ruled out.

Final goal: Solve the word within six guesses before your attempts run out.

Wordle hints and clues for today’s puzzle



Starting letter: Today’s Wordle answer begins with “M”.

Final hint: It is something you feel during a summer day.

Vowels: The answer contains one vowel.

Double letters: Yes, one double letter appears in today’s Wordle.

What is today’s Wordle answer?



MUGGY

Meaning of Muggy





The New York Times’ Wordle continues to engage word lovers around the world. Puzzle #1625 challenges players to guess a secret five-letter word within six attempts, testing their vocabulary, logic, and deduction skills. This guide offers helpful hints, a step-by-step solving strategy, and the final answer for Wordle #1625, perfect for anyone looking for a little extra support. Each clue is crafted to improve your guessing strategy, enhance pattern recognition, and strengthen problem-solving skills. Whether you’re a casual player or a devoted Wordle fan, this guide makes the puzzle more enjoyable, insightful, and rewarding. Get ready to sharpen your mind and embrace the thrill of today’s challenge.Wordle is a daily word game that challenges players to uncover a hidden five-letter word in six tries. After each guess, colour-coded tiles provide feedback: green means the letter is correct and in the right position, yellow shows the letter is in the word but in the wrong spot, and grey indicates letters that aren’t in the word. Its simple yet addictive gameplay has earned worldwide popularity.Wordle helps improve vocabulary, pattern recognition, and strategic thinking. With a new puzzle released every day, it has become a favourite daily ritual for word lovers across the globe.Having trouble with today’s Wordle? These 4 hints, covering starting letters and vowels, will guide you straight to the solution.Correctly guessing the vowels can help you identify the five-letter word faster.The Wordle answer for #1625 on November 30, 2025, is: Weather that feels unpleasantly warm, heavy, and humid.","The New York Times’ Wordle continues to engage word lovers around the world. Puzzle #1625 challenges players to guess a secret five-letter word within six attempts, testing their vocabulary, logic, and deduction skills. This guide offers helpful hints, a step-by-step solving strategy, and the final answer.","https://static.toiimg.com/thumb/msid-125668452,imgsize-15890,width-400,resizemode-4/wordle-today-1625-hints-and-answers-for-todays-wordle-november-30-2025.jpg"
"Nvidia CEO Jensen Huang to employees at town hall: Market not happy with our results, did you check memes on the internet",https://timesofindia.indiatimes.com/technology/tech-news/nvidia-ceo-jensen-huang-to-employees-at-town-hall-market-not-happy-with-our-results-did-you-check-memes-on-the-internet/articleshow/125482639.cms,"Nvidia’s quarterly results







Nvidia CEO Jensen Huang recently struck a humorous and candid tone in the company’s recent Townhall with the employees. Huang acknowledged that despite delivering a record-shattering earnings, the market reaction was less enthusiastic. As reported by Business Insider, Huang said that Nvidia’s influence has created a no-win situation with expectations so hight that even minor missteps could shake global markets. Huang also talked about the online chatter and memes about the company’s economic role. “If we delivered a bad quarter, if we’re off by just a hair, if it just looked a little bit creaky, the whole world would’ve fallen apart. You should’ve seen some of the memes on the internet. We’re basically holding the planet together — and it’s not untrue.”Nvidia reported a record quarter with $57 billion revenue which is up by 62% year-over-year, and forecasted $65 billion for the fourth quarter. The shares of the company rose by 5% in after-hours trading. Nvidia CFO Colette Kress reinforced the bullish outlook, noting, “The clouds are sold out. Our GPU installed base is fully utilized.”Nvidia’s blockbuster quarterly results rebuffs the growing narratives of an AI bubble.“If we delivered a bad quarter, it is evidence there’s an AI bubble. If we delivered a great quarter, we are fueling the AI bubble,” Huang told employees, according to a Business Insider report.Along with this, Huang also said that he was ‘delighted’ with the company’s results and proud of employees. He further added that Nvidia’s massive influence has made expectations harder to meet a reality reflected in its volatile market value.Huang lightheartedly recalled the “good old days” when Nvidia’s market cap stood at $5 trillion, joking about the company’s recent valuation swings, “Nobody in history has ever lost $500 billion in a few weeks. You’ve gotta be worth a lot to lose $500 billion in a few weeks.”","N Nvidia CEO Jensen Huang recently struck a humorous and candid tone in the company’s recent Townhall with the employees. Huang acknowledged that despite delivering a record-shattering earnings, the market reaction was less enthusiastic. Huang also talked about the online chatter and memes about the company's economic role. “If we delivered a great quarter, we are fueling the AI bubble,” Huang told employees.","https://static.toiimg.com/thumb/msid-125482626,imgsize-82050,width-400,resizemode-4/nvidia-ceo-jensen-huang.jpg"
Twitter’s advertising boss once seen as successor to former CEO Linda Yaccarino leaves Elon Musk’s company,https://timesofindia.indiatimes.com/technology/tech-news/twitters-advertising-boss-once-seen-as-successor-to-former-ceo-linda-yaccarino-leaves-elon-musks-company/articleshow/124805672.cms,"X witnessing executive exodus amid strategic churn



Mahmoud Reza Banki, X’s Chief Financial Officer, who announced his departure in early October after less than a year.

Mike Liberatore, xAI’s Chief Financial Officer, who quit over the summer.

Robert Keele, xAI’s General Counsel, who also left shortly after Liberatore.

‘Musk’s demands to increase sales pushed resignations’







John Nitti, the global head of revenue operations and advertising innovation at X (formerly Twitter ), has departed the social media platform after only 10 months. His exit marks the latest senior-level departure from Elon Musk ’s executive ranks and comes just months after he was viewed by industry insiders as a potential successor to former CEO Linda Yaccarino, a report has said.Nitti, a former Verizon executive, left X on Friday (October 24), The Financial Times reported citing people familiar with the matter. His departure follows Yaccarino’s resignation in July, after which her duties were divided among several leaders, including Nitti.Nitti’s exit reflects an ongoing wave of senior executive departures since Musk’s AI startup, xAI, took over the social media platform in March. The resignations have reportedly been attributed to frustration over Musk’s sudden strategy changes and the difficulty of executing objectives under his management style.Other recent high-profile departures include:It is also being reported that there has been a constant pressure to boost revenues, which, combined with Musk’s simultaneous spending of billions on infrastructure for the AI race, fueled the resignations.The report said that advertising executives like Nitti have faced intense demands from Musk to increase sales, even as many advertisers have pulled back. Brands were deterred by Musk’s decision to relax content moderation standards based on his ""free speech"" ideals.The report cites sources as saying that Nitti was among sales leaders who grew frustrated with Musk’s management of the advertising business. Following the CEO’s disengagement from the Trump administration this past summer, Musk began making more unilateral decisions around advertising without consulting his leadership team.While xAI has recently secured new media partnerships, including one with Disney, and claims improving advertising metrics due to its AI technology, some advertisers privately complain they felt pressured to spend after X sued several brands for allegedly undertaking an ""illegal boycott.""","John Nitti, the global head of revenue operations and advertising innovation at X (formerly Twitter ), has departed the social media platform after only 10 months. His exit marks the latest senior-level departure from Elon Musk ’s executive ranks and comes just months after he was viewed as a potential successor to former CEO Linda Yaccarino.","https://static.toiimg.com/thumb/msid-124805693,imgsize-7992,width-400,resizemode-4/x-twitter.jpg"
