Article Title,Article Link,Article Text,Article Summary,Article Image
Public execution in Afghanistan: Man sentenced to 'retaliatory punishment' for murder; thousands gather to watch,https://timesofindia.indiatimes.com/world/rest-of-world/public-execution-in-afghanistan-man-sentenced-to-retaliatory-punishment-for-murder-thousands-gather-to-watch/articleshow/125720626.cms,"Representative image

International outcry





A convicted murderer was publicly executed at a stadium in eastern Afghanistan, witnesses told AFP on Tuesday, an act condemned as “inhumane” by UN human rights officials.The Supreme Court identified the executed individual as Mangal. Observers reported that a family member of one of the victims made off with three shots, with thousands of people present to witness the event.The court described the execution as a “retaliatory punishment” following an extensive review of the case. “The families of the victims were offered amnesty and peace, but they refused,” the court said.Local resident Mujib Rahman Rahmani suggested the execution could serve as a deterrent, stating, “No one will dare to kill anyone in the future.” Official notices had encouraged public attendance at the event.According to reports, Mangal was among several individuals who attacked a residence in January 2025, resulting in ten fatalities, including three women.Richard Bennett, UN Special Rapporteur on Human Rights in Afghanistan, condemned the execution on Tuesday, calling it “inhumane, cruel, and an unusual punishment, contrary to international law.”He urged that such actions “must stop.”Public executions were common during the Taliban’s initial rule from 1996 to 2001, often held in sports venues. This execution marks the 12th public instance since the Taliban regained power in 2021. The previous case, recorded as the 11th, occurred in October in Badghis, with thousands attending, including Taliban officials.Earlier in April, authorities executed four individuals across three provinces simultaneously. The Taliban continue to implement physical punishments, including flogging, for offences such as theft, adultery, and alcohol consumption. All executions are authorised by Taliban supreme leader Hibatullah Akhundzada, based in Kandahar.Human rights organisations, including Amnesty International, have criticised Afghanistan’s use of physical and capital punishment. Amnesty’s April annual report highlighted that death sentences in Afghanistan were imposed through proceedings that “did not meet international fair trial standards.”","A convicted murderer was publicly executed at a stadium in eastern Afghanistan, witnesses said. Observers reported that a family member of one of the victims made off with three shots. The Supreme Court identified the executed individual as Mangal. The court described the execution as a “retaliatory punishment’","https://static.toiimg.com/thumb/msid-125721062,imgsize-371789,width-400,resizemode-4/terrorist_ians.jpg"
Google co-founder Sergey Brin’s ex-wife Nicole Shanahan claims Silicon Valley ‘tech wives’ were used to fund hidden agendas,https://timesofindia.indiatimes.com/world/us/google-co-founder-sergey-brins-ex-wife-nicole-shanahan-claims-silicon-valley-tech-wives-were-used-to-fund-hidden-agendas/articleshow/125719824.cms,"Nicole Shanahan says Silicon Valley donor circles were conscripted into elite agendas

She now believes the philanthropy model made things worse

crime in the communities increased

mental health outcomes worsened

dependency on grants deepened rather than lifting people out of hardship

Social justice and climate change influenced donor decisions

social justice

climate change

The Great Reset and why her comments are stirring debate





Nicole Shanahan, the ex-wife of Google co-founder Sergey Brin and a major philanthropist who once wrote nine-figure checks, has accused Silicon Valley’s elite donor circles of unknowingly supporting what she describes as hidden agendas pushed by global networks of NGOs, Hollywood figures and Davos-linked institutions like the World Economic Forum . In a recently shared conversation, Shanahan said many wealthy tech wives, including herself, believed they were funding social good but were instead being steered toward broader ideological projects.Shanahan, who briefly served as RFK Jr.’s running mate in 2024, said these women were used to set the groundwork for what she associates with Klaus Schwab’s Great Reset, a post-pandemic economic and social vision promoted by the World Economic Forum. Klaus Schwab, the economist who founded the WEF in 1971, has long advocated for stronger public and private cooperation to reshape global systems. She claims the women’s philanthropic dollars and social influence were directed through advisory networks without them realising how their contributions were being utilised.According to Shanahan, tech-world philanthropists were plugged into a system of NGO advisors, Hollywood connections and Davos culture that guided donor decisions. She described Silicon Valley’s wealth ecosystem as a very small group of people who socialise together, serve on the same boards and make decisions that have outsized influence.Shanahan argues that these donors were not fully aware of how their philanthropic movements were being leveraged.She claims the women were used to fund groundwork that supported global policy frameworks rather than grassroots needs.Shanahan paints a picture of Silicon Valley spouses overwhelmed by the demands of extreme wealth. Many manage multiple homes, large staffs, strained relationships and high levels of stress. She says some are medicated for anxiety or depression and are too busy to question how their philanthropic guidance is shaped.She believes this emotional and logistical overload made these women more susceptible to being steered. As she describes it, they find meaning through philanthropic work. That was her identity as well, and she says she truly believed she was helping.Reflecting on her own giving, Shanahan says she once believed her donations were uplifting Black and Indigenous communities. But she now claims the opposite happened and argues that conditions deteriorated instead of improving.According to her:Her argument is that the philanthropic model itself is flawed because the structure reinforces problems instead of solving them.One of her strongest assertions is that two themes were repeatedly used to persuade Silicon Valley women to fund certain projects:Shanahan says these issues were emotionally compelling and therefore effective at steering donors toward programs that aligned with the interests of advisers and global institutions.She claims that any pushback was quickly dismissed with climate-related justifications, saying that whenever questioned, the answer was always some version of ""but climate change.""The Great Reset is a real initiative promoted by the World Economic Forum in 2020 as a framework for rethinking global systems after the pandemic. Supporters see it as a roadmap toward sustainability and economic reform. Critics argue that it centralises too much influence in the hands of global institutions.Shanahan positions Silicon Valley philanthropy as unintentionally feeding into this agenda, not through conspiracy but through unexamined donor pipelines and emotional messaging.Her comments are circulating widely because they come from someone who belonged to Silicon Valley’s highest social and financial circles, personally managed massive philanthropic budgets and now argues that the system is broken and has harmed the communities it claimed to help.","Nicole Shanahan, the ex-wife of Google co-founder Sergey Brin, has accused Silicon Valley’s elite donor circles of unknowingly supporting hidden agendas. Shanahan said many wealthy tech wives believed they were funding social good but were instead being steered toward broader ideological projects. She said these women were used to set the groundwork for the Great Reset, a post-pandemic economic and social vision.","https://static.toiimg.com/thumb/msid-125719894,imgsize-40004,width-400,resizemode-4/google-co-founder-sergey-brins-ex-wife-nicole-shanahan-claims-silicon-valley-tech-wives-were-used-to-fund-hidden-agendas.jpg"
Seven new mosques in Abu Dhabi named after each emirate for UAE National Day,https://timesofindia.indiatimes.com/world/middle-east/seven-new-mosques-in-abu-dhabi-named-after-each-emirate-for-uae-national-day/articleshow/125718452.cms,"The seven mosques in Mohamed bin Zayed City blend Islamic heritage with modern design for worshippers/Representative Image

Honoring the emirates through architecture





At UAE National Day, Piyush Goyal Says India-UAE Alliance Is Global Template For Trust, Innovation

A blend of tradition and modernity





Strengthening community and faith









In a move honoring the nation’s unity, President His Highness Sheikh Mohamed bin Zayed Al Nahyan has directed that seven new mosques in Abu Dhabi be named after the seven Emirates of the UAE. The initiative comes ahead of the 54th Eid Al Etihad celebrations and reflects a vision to strengthen the values of generosity, progress, and national pride across generations.The names of the seven Emirates will be assigned to mosques located in Mohamed bin Zayed City, Abu Dhabi. Collectively, these mosques can accommodate around 6,000 worshippers, offering ample space for community prayers and gatherings. The construction covers approximately 12,000 square metres and is set to open for worshippers in January next year.This initiative was realized through close coordination between the Presidential Court, the General Authority of Islamic Affairs, Endowments and Zakat, and the Department of Municipalities and Transport in Abu Dhabi.Dr. Omar Habtoor Al Darei, Chairman of the General Authority of Islamic Affairs, Endowments, and Zakat, highlighted that the mosques are designed in a modern architectural style that harmoniously blends Islamic art and heritage with contemporary innovation.Each mosque aims to provide worshippers with a peaceful and comfortable environment while maintaining a strong connection to the community.Dr. Al Darei praised the President’s continued support, noting that these mosques not only serve as places of worship but also as symbols of the enduring values of the UAE, inspiring future generations to uphold the nation’s path of generosity and progress.The creation of these mosques reinforces the UAE leadership’s commitment to nurturing faith and community spirit. Beyond their physical presence, the mosques are envisioned as spaces that foster social cohesion, spiritual reflection, and cultural continuity.By naming each mosque after an Emirate, the initiative ties local identity to national unity, offering worshippers a tangible reminder of the country’s collective heritage.","President His Highness Sheikh Mohamed bin Zayed Al Nahyan has directed that seven new mosques in Abu Dhabi be named after the seven Emirates of the UAE. The initiative comes ahead of the 54th Eid Al Etihad celebrations and reflects a vision to strengthen the values of generosity, progress, and national pride.","https://static.toiimg.com/thumb/msid-125718531,imgsize-564341,width-400,resizemode-4/abu-dhabi.jpg"
Qatar begins digital selection process for Hajj 1447 AH pilgrims,https://timesofindia.indiatimes.com/world/middle-east/qatar-begins-digital-selection-process-for-hajj-1447-ah-pilgrims/articleshow/125718658.cms,"Qatar’s Hajj 1447 AH electronic selection notifies pilgrims via SMS, requiring seven-day registration with accredited operators/Representative Image

How the selection and registration works





New system upgrades and early registration





Quota, oversight, and support









Qatar is gearing up to welcome pilgrims for the Hajj 1447 AH season as the Ministry of Endowments and Islamic Affairs (Awqaf) launches its electronic selection process. Starting December 2, 2025, the Hajj and Umrah Affairs Department will guide shortlisted applicants through a digital system designed to make registration smooth, transparent, and efficient. This initiative also gives operators the ability to plan trips effectively, ensuring top quality services for pilgrims.Pilgrims who are shortlisted will receive an SMS notifying them of their approval. Once notified, they have seven days to complete the registration process with one of the 24 accredited Hajj operators through the official website, www.hajj.gov.qa. Missing this deadline will result in automatic cancellation.During registration, applicants are required to pay an advance of QAR 10,000. This is part of the total Hajj cost, not a separate registration fee, and the final price depends on the services chosen, including accommodation and transportation. Pilgrims must also sign an electronic contract selecting their preferred operator through the online system.The advance payment ensures that applicants are serious about performing Hajj.It also helps operators plan their trips carefully, making sure all arrangements are ready for pilgrims’ arrival. Applicants are encouraged to review the services and costs of each operator, as they may vary in terms of residency, hospitality, and transportation.This year, the electronic system comes with a smoother online payment mechanism, allowing pilgrims to pay comfortably according to the prices set by their chosen operator. Building on the success of previous seasons, early registration is now open, giving operators the chance to finalize contracts and organize trips well in advance.These upgrades aim to provide a seamless pilgrimage experience. Pilgrims can focus on performing Hajj in a calm and organized setting while benefiting from high quality services.Qatar’s quota for this season is set at 4,400 pilgrims. The electronic selection process fully respects this allocation and follows established standards. Awqaf is working closely with the Ministry of Hajj and Umrah in Saudi Arabia, along with other relevant authorities, to ensure the pilgrimage runs smoothly and meets the expectations of Qatar’s pilgrims.For any questions about registration, selection, or services, pilgrims can contact the hotline at 132. The ministry emphasized that these coordinated efforts reflect its commitment to providing an organized, transparent, and fulfilling Hajj experience for all pilgrims from Qatar.","Qatar is gearing up to welcome pilgrims for the Hajj 1447 AH season. The Ministry of Endowments and Islamic Affairs (Awqaf) launches its electronic selection process. Starting December 2, 2025, shortlisted applicants will receive an SMS notifying them of their approval. Once notified, they have seven days to complete the registration process.","https://static.toiimg.com/thumb/msid-125718861,imgsize-1553245,width-400,resizemode-4/hajj.jpg"
‘Looks like the CEO shooter’: 911 call by McDonald's worker played during Luigi Mangione hearing,https://timesofindia.indiatimes.com/world/us/looks-like-the-ceo-shooter-911-call-by-mcdonalds-worker-played-during-luigi-mangione-hearing/articleshow/125707292.cms,"Luigi Mangione Gets 200+ Letters A Day; Some Too Explicit To Read Out Loud





A Manhattan judge on Monday reviewed key evidence in the murder case against Luigi Mangione , including a 911 call from the Altoona, Pennsylvania McDonald’s where he was arrested last year after a dayslong manhunt after he killed UnitedHealthcare CEO Brian Thompson.Mangione has pleaded not guilty in both state and federal cases, with federal prosecutors seeking the death penalty.According to Gothamist, prosecutors played the 911 recording in which the McDonald’s manager told a dispatcher the man in the restaurant “looks like the CEO shooter,” adding that customers were “really upset.” Mangione was arrested there on December 9, 2024, five days after Thompson was killed outside the Midtown Hilton in Manhattan.At Monday’s hearing, prosecutors also showed widely circulated surveillance footage of a masked gunman firing at Thompson at close range. Mangione, appearing in court in a grey suit and checkered shirt, watched the footage without visible reaction and took notes, Gothamist reported.His defence team is seeking to toss evidence recovered during his arrest, including a handgun, a loaded magazine and a handwritten notebook found in his backpack.His attorneys argue police conducted an unlawful, warrantless search. Prosecutors say the arrest and search were lawful and that the backpack’s contents tie the 27-year-old to the killing. Much of the same evidence is also being challenged in the federal case.Testimony from a Pennsylvania corrections officer who said Mangione was placed on “constant watch” at SCI-Huntington before extradition because the prison “did not want an ‘Epstein-style’ situation.”The hearing drew unusually large crowds as Mangione’s supporters — some dressed as Nintendo’s Super Mario characters — gathered outside the court holding “Free Luigi” signs and calling for “no death penalty.” A new photo of Mangione from court went viral on social media, echoing the attention he has received since his arrest.The judge in the state case is expected to rule on the suppression issues and could set a trial date in the coming days.","Luigi Mangione, 27, is accused of killing UnitedHealthcare CEO Brian Thompson. He has pleaded not guilty in both state and federal cases, with federal prosecutors seeking the death penalty. His defence team is seeking to toss evidence recovered during his arrest, including a handgun and a loaded magazine.","https://static.toiimg.com/thumb/msid-125710031,imgsize-927046,width-400,resizemode-4/luigi-mangione-ap.jpg"
Saudi Arabia introduces new corporate dress code: What workers must wear now,https://timesofindia.indiatimes.com/world/middle-east/saudi-arabia-introduces-new-corporate-dress-code-what-workers-must-wear-now/articleshow/125609007.cms,"Saudi Arabia has released a draft Code of Appearance and Conduct that sets out new national standards for how employees should dress and behave across public, private and non-profit workplaces. The draft is now open for public consultation from November 25 to December 25, 2025.","Saudi Arabia has released a draft Code of Appearance and Conduct that sets out new national standards for how employees should dress and behave. The draft is now open for public consultation from November 25 to December 25, 2025. It is intended to cover public, private and non-profit workplaces.","https://static.toiimg.com/thumb/msid-125618092,imgsize-47258,width-400,resizemode-4/saudi-arabia-workplace-dress-code.jpg"
"No phones, no smartwatches: Singapore tightens school rules; devices to be locked away from 2026",https://timesofindia.indiatimes.com/world/rest-of-world/no-phones-no-smartwatches-singapore-tightens-school-rules-devices-to-be-locked-away-from-2026/articleshow/125710932.cms,"



Singapore will require all secondary school students to keep their smartphones and smartwatches locked away for the entire duration of the school day from January 2026, extending an existing restriction that currently applies only during lesson time.The ministry of education (MOE) announced the new rules on November 30, saying they are intended to curb digital distractions and promote healthier screen habits, reported Gulf news.Under the revised policy, students must store devices in lockers or bags not just during classes, but also through recess, co-curricular activities and remedial sessions. Schools may grant exceptions “where necessary,” the ministry said.Citing research on excessive screen exposure, the MOE noted that “screen use among students has been shown to displace important activities such as sleep, physical activity and social interactions.” The ministry added that reducing in-school device dependence is part of a broader effort to improve student wellbeing.Alongside the new restrictions, default ‘sleep hours’ on government-issued learning devices will shift from 11pm to 10.30pm starting January.Parents who have opted out of after-school limits have been urged to adopt the earlier cutoff at home.The move aligns with a growing global push to limit digital distractions in schools. UNESCO estimates that about 40 per cent of education systems now impose smartphone bans. Australia is set to introduce a nationwide bar on social media use for those under 16 next week, while China’s Zhengzhou district requires parents to justify why a child needs a phone “for pedagogical reasons.”The MOE said schools will work closely with parents and reinforce Cyber Wellness education to help students build healthier online habits.","Singapore will require all secondary school students to keep their smartphones and smartwatches locked away for the entire duration of the school day from January 2026. The ministry of education announced the new rules on November 30, saying they are intended to curb digital distractions and promote healthier screen habits.","https://static.toiimg.com/thumb/msid-125710937,imgsize-782863,width-400,resizemode-4/no-smartphones-and-smartwatches-from-2026.jpg"
Bangladesh: BNP hails PM Modi's concern for critical Khaleda Zia; terms it a 'gesture of goodwill',https://timesofindia.indiatimes.com/world/south-asia/bangladesh-bnp-hails-pm-modis-concern-for-critical-khaleda-zia-terms-it-a-gesture-of-goodwill/articleshow/125710466.cms,"Former Bangladesh PM Khaleda Zia (ANI file photo)





The Bangladesh Nationalist Party (BNP) on Tuesday expressed its gratitude to Prime Minister Narendra Modi after he conveyed concern and extended good wishes to former Bangladesh Prime Minister Khaleda Zia, who remains in a critical condition.Zia, 80, a long-time rival of Bangladesh’s longest-serving leader Sheikh Hasina, has been placed on ventilation as her health deteriorates.In a post on X, the BNP wrote: ""BNP expresses its sincere gratitude to the Honourable Prime Minister of India, for his thoughtful message and kind wishes for the speedy recovery of BNP Chairperson Begum Khaleda Zia."" The party added, ""BNP deeply appreciates this gesture of goodwill and the expression of readiness to extend support.""A day earlier, PM Modi had publicly expressed concern over the former leader’s condition. In his message on X, he wrote: ""Deeply concerned to learn about the health of Begum Khaleda Zia, who has contributed to Bangladesh's public life for many years."" He added, ""Our sincere prayers and best wishes for her speedy recovery. India stands ready to extend all possible support in whatever way we can.""Zia was admitted to Dhaka’s Evercare Hospital on November 23 with a lung infection and is being treated in the Coronary Care Unit under the supervision of a team of local and foreign specialists.According to BNP secretary general Mirza Fakhrul Islam Alamgir, her condition is ""very critical.""Bangladesh's interim government has also shown concern. Chief adviser Muhammad Yunus sent adviser Asif Nazrul to Evercare Hospital on Friday night to assess her condition.Khaleda Zia has long suffered from multiple ailments, including heart disease, diabetes, arthritis, liver cirrhosis, and kidney complications. She travelled to London on January 8 for advanced medical care and underwent 17 days of treatment at the London Clinic before continuing her recovery at her son Tarique Rahman’s residence under the supervision of specialist doctors Professor Patrick Kennedy and Professor Jennifer Cross. She returned to Bangladesh on May 6 after completing her treatment in the UK.Begum Khaleda Zia, a dominant figure in Bangladesh’s politics, served as the country’s first woman Prime Minister, holding office from 1991 to 1996 and again from 2001 to 2006. She is the widow of former President and army commander Ziaur Rahman.","Bangladesh Nationalist Party (BNP) expresses gratitude to Prime Minister Narendra Modi. Zia, 80, a long-time rival of Bangladesh’s longest-serving leader Sheikh Hasina, has been placed on ventilation as her health deteriorates. PM Modi had publicly expressed concern over the former leader's condition.","https://static.toiimg.com/thumb/msid-125710404,imgsize-721390,width-400,resizemode-4/untitled-design-55.jpg"
North Carolina fire: Raleigh convention center engulfed in massive blaze,https://timesofindia.indiatimes.com/world/us/north-carolina-fire-raleigh-convention-center-engulfed-in-massive-blaze-watch/articleshow/125711556.cms,"



A fire on the roof of the Raleigh convention center was contained within an hour on Monday night after a natural gas incident sparked flames around 9.30pm, according to city of Raleigh officials. No injuries were reported.City spokeswoman Julia Milstead told WRAL that the blaze was restricted to the roof and did not spread into the building’s interior. Lights remained on inside the centre during the incident, and no nearby structures were affected, even as flames and smoke were visible across downtown.Milstead said security staff were inside when the fire broke out but were able to exit quickly. Around 50 firefighters responded, and operations began scaling down by 10.45pm, though crews were expected to remain at the site overnight. Residents were advised to avoid the area while work continued.Videos on social media show flames shooting from the rooftop minutes after the fire started. No events were underway at the time.Raleigh mayor Janet Cowell described the convention centre as an “important civic asset” and said officials would meet at City Hall on Tuesday for updates. “I hope we can repair damage and have it back functioning normally as soon as possible,” she said.According to the convention centre’s website, the North Carolina cybersecurity summit is scheduled for Wednesday and Thursday, followed by a holiday event on Friday. While Milstead confirmed no internal damage, it remains unclear how the roof incident might affect upcoming events.WRAL meteorologist Kat Campbell noted that calm winds aided firefighting, but nearly an inch of rain was forecast for Tuesday. Officials have not yet indicated whether roof damage could lead to leaks.WRAL said further updates would be provided overnight and during its morning bulletin from 4.30am.",A natural gas incident sparked a fire on the roof of the Raleigh convention center. The blaze was contained within an hour and no injuries were reported. No events were underway at the time of the incident. Officials have not yet indicated whether roof damage could lead to leaks.,"https://static.toiimg.com/thumb/msid-125711571,imgsize-641873,width-400,resizemode-4/raleigh-convention-center-on-fire-x.jpg"
Retiring in the UAE? How much a 5-year retirement visa will cost you and the benefits you get,https://timesofindia.indiatimes.com/world/middle-east/retiring-in-the-uae-how-much-a-5-year-retirement-visa-will-cost-you-and-the-benefits-you-get/articleshow/125684586.cms,"Retirees aged 55+ can secure a UAE 5-year visa with AED 1 million in savings, property, or income/ AI representative Image

Israel’s Arab Ally Draws Red Line After ‘Dangerous Escalation’ In Syria | Abraham Accords In Crisis?



What is the UAE retirement visa and who can apply?

Eligibility criteria (Federal regulations)





Minimum age: 55 years or older

Work experience: Minimum of 15 years of cumulative work experience, whether inside or outside the UAE

Own property in the UAE valued at AED 1 million or more — $270,000 or more

Have savings of at least AED 1 million — $270,000

Receive a minimum monthly income of AED 20,000 — $5,400

Visa validity and renewal





The retirement visa is issued for a five-year period

Renewable upon continued fulfillment of the eligibility conditions

Offers a pathway for long-term stability in the UAE post-retirement

Application process – Step-by-step through ICP





How to apply





Log in via UAE Pass or username/password – Secure digital identity login Select Services – Choose “UAE ID and Residency Services” Review and Update Data – Verify all auto-retrieved personal and financial information and make necessary updates Payment and Delivery – Pay applicable fees and receive the Emirates ID via approved delivery services



Special Retirement Visa Program by Dubai





Minimum annual income of AED 180,000 (or monthly income of AED 15,000) — $48,600 annually or $4,050 monthly

Fixed deposit savings of AED 1 million maintained for at least 3 years — $270,000

Ownership of unmortgaged property worth AED 1 million in Dubai — $270,000

A combined financial portfolio (savings + property) totaling at least AED 1 million — $270,000

Required documents for each applicant category





For foreign retired real estate owners

Applicants applying through real estate ownership must submit:

Copy of passport

Proof of property ownership or property evaluation certificate issued by the Land and Property Department

For foreign pensioners who own a deposit

Personal photo

Copy of passport

Certificate of financial deposit

Acknowledgment letter confirming the transfer of the deposit into the UAE

For Foreign Pensioners With Annual Income

Personal photo

Copy of passport

Bank account statement for the last six (6) months

Letter from an official body indicating the source of income

Fees, costs, and other considerations

Estimated costs:





Medical Examination: AED 700 ($189)

Emirates ID: AED 653 ($176.31)

Visa Fees: AED 2,256.75 ($609.32)

Dubai Land Department (DLD) Fees: AED 2,020 ($545.40)

(DLD) Fees: AED 2,020 ($545.40) Administrative DLD Fees: AED 1,155 ($311.85)

Health Insurance: Variable, depending on applicant’s age and provider

(excluding insurance)

Benefits and strategic context

Key benefits for retirees:





No income, property, or wealth tax

Sponsorship eligibility for spouse and dependent children

Access to top-tier healthcare across the UAE

Multiple entry/exit flexibility without residency disruptions

Long-term lifestyle security through renewable 5-year terms

Strategic vision

Broader visa reforms in 2025





Thinking about retirement abroad? The UAE isn’t just a playground for investors and professionals, it’s also emerging as a smart, tax-friendly destination for retirees. With its 5-year renewable retirement visa, financially stable expatriates aged 55 and above can enjoy long-term residency without needing a job or running a business.But what does it really take to retire here? From minimum savings and property requirements to monthly income thresholds, understanding the costs, and planning wisely, can make the difference between a smooth move and a financial headache. Beyond the numbers, the visa offers clear perks: no income or property tax, access to world-class healthcare, and the freedom to bring your spouse and dependents along for a secure, comfortable lifestyle.Here’s a complete breakdown of the financial requirements, application steps, and benefits of the UAE retirement visa, so you can see if it makes sense for your retirement plans.The UAE’s retirement visa program provides a 5-year renewable residency option for foreign retirees who wish to settle in the country after their working years. The policy is applicable across all emirates, with Dubai offering an additional customized version of the program.It was officially introduced by the Federal Authority for Identity, Citizenship, Customs, and Port Security (ICP) in December 2024, as part of a broader federal update to residency and ID regulations aimed at creating more flexible long-term visa pathways.Applicants must meet all of the following base criteria:In addition, applicants must fulfill at least one of the following financial conditions:Special Case (Dubai Only): Dubai residents are eligible with a lower income threshold of AED 15,000 ($4,050) per month.Applicants are also required to submit a bank statement from the past six months to confirm financial eligibility.The ICP (Federal Authority for Identity, Citizenship, Customs, and Port Security) manages the retirement visa application process through its digital platforms, namely the official ICP website and the UAEICP smart application.The process involves four primary steps through the UAEICP smart application or official website:In addition to federal guidelines, Dubai offers its own retirement visa initiative, tailored to attract global retirees, their spouses, and dependents. It comes with a choice of four financial qualification options, any one of which would make the applicant eligible:This flexibility allows applicants to tailor their approach based on income, assets, or a mix of both. Foreign applicants can apply through the GDRFAD website under the section titled ‘Issuing a residence permit for the retired foreigner’.To complete the application for the UAE Retirement Visa, applicants must provide documents specific to the financial route they are applying under. The documentation ensures the applicant meets eligibility criteria and supports the processing of the visa.Applicants applying through a financial deposit must submit:Applicants applying through regular income must submit:Note: All documents must be valid and clearly support the financial eligibility route chosen by the applicant. Failure to provide complete documentation may result in delays or rejection.While referred to by some as a “free” visa in media reports, the UAE retirement visa does involve multiple fees for processing, medical testing, and administrative services.Total Estimated Range: AED 2,300 to AED 3,800 ($621 to $1,026)These figures highlight that, while the visa is employment-independent, it is not fee-exempt, and applicants should budget accordingly.The retirement visa is more than just a residency document, it’s a cornerstone of the UAE’s broader strategy for global competitiveness and population diversification.The program strongly aligns with the UAE’s Vision 2031, aimed at diversifying national income sources, significantly increasing global talent retention, and transforming the Emirates into a full-spectrum and vibrant destination — not just for careers but also for retirement, investment, and overall holistic quality of life, reinforcing a strategic and inclusive framework that supports long-term enduring opportunities.The retirement visa is part of the UAE’s broader 2025 residency reforms aimed at attracting long-term residents across diverse sectors. Recent additions include the Blue Visa for environmental experts, expanded Golden Visas for teachers, nurses, digital content creators, and luxury yacht owners, and an enhanced Golden Visa for e-sports and gaming professionals. The rollout also features AI-driven processing for faster approvals, reflecting the UAE’s push for a more inclusive and efficient residency framework. These visa updates reinforce the UAE’s goal to attract and support residents at every stage of life.","Retirees aged 55+ can secure a UAE 5-year visa with AED 1 million in savings, property, or income. The visa offers no income, property tax, or wealth tax for spouse and dependent children. The UAE is emerging as a smart, tax-friendly destination for retirees.","https://static.toiimg.com/thumb/msid-125684802,imgsize-977865,width-400,resizemode-4/uae-retirement-visa.jpg"
